cell,seed,direction,run,w_vic,scaling,calib_rho,novelty_rho,predext_rho,embnn_rho,coverage95,mean_std,gp_spearman,kernel
A_base,0,0,outputs/rank_v1/A_base/fold0_seed0,0.0,raw,0.02149170335566813,0.15704092390927926,0.1571094065281469,0.6364666355706653,0.9546,0.4516700970888567,0.8768253582350267,"2.84**2 * Matern(length_scale=14.5, nu=2.5) + WhiteKernel(noise_level=0.249)"
A_base,0,1,outputs/rank_v1/A_base/fold0_seed0,0.0,raw,0.013659698562387941,0.15008008554740018,0.29591166607646663,0.6584271980490879,0.9474,0.4512981329732775,0.8734303317621149,"1.78**2 * Matern(length_scale=7.79, nu=2.5) + WhiteKernel(noise_level=0.246)"
A_base,1,0,outputs/rank_v1/A_base/fold0_seed1,0.0,raw,0.03970446562017862,0.04947769113758621,0.27962159093557454,0.6085211669328466,0.9532,0.44667568153795356,0.8789949868759753,"2.14**2 * Matern(length_scale=9.47, nu=2.5) + WhiteKernel(noise_level=0.245)"
A_base,1,1,outputs/rank_v1/A_base/fold0_seed1,0.0,raw,0.015170781054831241,0.035998719113223,0.4442765365283867,0.5214330306493211,0.9504,0.4499043213418914,0.8788957583691578,"3.33**2 * Matern(length_scale=14.7, nu=2.5) + WhiteKernel(noise_level=0.249)"
A_base,2,0,outputs/rank_v1/A_base/fold0_seed2,0.0,raw,0.029804536936181476,0.04406987253038175,0.0889427720238455,0.5643468373578734,0.9514,0.45048757219196917,0.875805162004111,"1.6**2 * Matern(length_scale=7.29, nu=2.5) + WhiteKernel(noise_level=0.245)"
A_base,2,1,outputs/rank_v1/A_base/fold0_seed2,0.0,raw,0.12901317616852703,-0.016095147227339294,0.0910164504428424,0.7255981161919245,0.9344,0.4271637766375544,0.8606095112052504,"0.964**2 * Matern(length_scale=1.39, nu=2.5) + WhiteKernel(noise_level=0.19)"
D_w3,0,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,raw,0.13829924597996981,0.14928394188700775,0.020022228225369663,0.6952310476492418,0.9548,0.4786507333424317,0.8548863943976394,"1.21**2 * Matern(length_scale=5.4, nu=2.5) + WhiteKernel(noise_level=0.172)"
D_w3,0,1,outputs/rank_v1/D_w3/fold0_seed0,3.0,raw,0.17036554377462174,0.09089596512119552,0.007650571890022875,0.6509369465494778,0.9356,0.447038558007488,0.8531929469106644,"1.19**2 * Matern(length_scale=5, nu=2.5) + WhiteKernel(noise_level=0.134)"
D_w3,1,0,outputs/rank_v1/D_w3/fold0_seed1,3.0,raw,0.14979120378364816,0.02601810165223135,-0.1327594913615659,0.2755707630548305,0.954,0.4667687484169021,0.8657555285334888,"2.61**2 * Matern(length_scale=16.5, nu=2.5) + WhiteKernel(noise_level=0.237)"
D_w3,1,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,raw,0.1733743782949751,-0.0662056468401112,-0.1015498955388702,0.4966355818494232,0.9452,0.46055792073147767,0.8620303416968156,"1.57**2 * Matern(length_scale=8.29, nu=2.5) + WhiteKernel(noise_level=0.21)"
D_w3,2,0,outputs/rank_v1/D_w3/fold0_seed2,3.0,raw,0.14456917778276707,0.08633059656186413,-0.05221626607390383,0.4890002413200096,0.9606,0.48371318182190315,0.8648530069599807,"1.58**2 * Matern(length_scale=8.43, nu=2.5) + WhiteKernel(noise_level=0.217)"
D_w3,2,1,outputs/rank_v1/D_w3/fold0_seed2,3.0,raw,0.15258161919126476,-0.014123594790913985,0.006775856047359483,0.5048116443204658,0.9468,0.46002043276693394,0.8593749059083661,"1.61**2 * Matern(length_scale=7.93, nu=2.5) + WhiteKernel(noise_level=0.185)"
A_base,3,0,outputs/rank_v2/A_base/fold0_seed3,0.0,raw,-0.03292797674111907,0.1538480316278448,0.21255242281119816,0.6768052999682119,0.9516,0.45294721317846925,0.8761976588301723,"1.89**2 * Matern(length_scale=8.66, nu=2.5) + WhiteKernel(noise_level=0.249)"
A_base,3,1,outputs/rank_v2/A_base/fold0_seed3,0.0,raw,-0.0010503850980154038,0.1563374200435559,0.3410882665637168,0.720353902862156,0.9382,0.43388019764907776,0.872964615103391,"1.13**2 * Matern(length_scale=2.81, nu=2.5) + WhiteKernel(noise_level=0.217)"
A_base,4,0,outputs/rank_v2/A_base/fold0_seed4,0.0,raw,0.009622835328913414,0.08256458555166822,0.08492118200688539,0.6373976891119074,0.9506,0.45173595979273096,0.8765890296720671,"1.58**2 * Matern(length_scale=7.65, nu=2.5) + WhiteKernel(noise_level=0.245)"
A_base,4,1,outputs/rank_v2/A_base/fold0_seed4,0.0,raw,-0.016901143876045754,0.06907971353161838,0.26952406073296237,0.6171752502870099,0.955,0.45418831471197063,0.8795234191310839,"2.43**2 * Matern(length_scale=13.5, nu=2.5) + WhiteKernel(noise_level=0.25)"
D_w3,3,0,outputs/rank_v2/D_w3/fold0_seed3,3.0,raw,0.14623204876128193,0.06761479429348262,-0.05747216058826576,0.4716768503550739,0.9496,0.4685977374314734,0.8572749712789769,"2.07**2 * Matern(length_scale=11.6, nu=2.5) + WhiteKernel(noise_level=0.215)"
D_w3,3,1,outputs/rank_v2/D_w3/fold0_seed3,3.0,raw,0.15582334444093376,0.03378378332729264,-0.0316624852040192,0.649827176521087,0.9482,0.4735004762086337,0.854531495166441,"1.18**2 * Matern(length_scale=5.15, nu=2.5) + WhiteKernel(noise_level=0.161)"
D_w3,4,0,outputs/rank_v2/D_w3/fold0_seed4,3.0,raw,0.14380846501633857,0.059071781178858807,-0.041755915768240906,0.6313398076855923,0.954,0.478596923333426,0.8574461492402988,"1.4**2 * Matern(length_scale=6.96, nu=2.5) + WhiteKernel(noise_level=0.194)"
D_w3,4,1,outputs/rank_v2/D_w3/fold0_seed4,3.0,raw,0.15887978488319135,0.012999582277142666,-0.04985866087554305,0.6453497241499889,0.9426,0.45204907599439337,0.8545181952765353,"1.16**2 * Matern(length_scale=4.99, nu=2.5) + WhiteKernel(noise_level=0.135)"
