cell,seed,direction,run,w_vic,scaling,calib_rho,novelty_rho,predext_rho,embnn_rho,coverage95,mean_std,gp_spearman,kernel
A_base,0,0,outputs/rank_v1/A_base/fold0_seed0,0.0,raw,-0.03726323064252922,0.18580434740870413,0.2737139509071272,0.6687431608937263,0.95,0.4383258229121371,0.8772086070917199,"4.25**2 * Matern(length_scale=22.1, nu=2.5) + WhiteKernel(noise_level=0.236)"
A_base,0,1,outputs/rank_v1/A_base/fold0_seed0,0.0,raw,0.0016434630417385217,0.1821030124682049,0.37233154465326174,0.6894274381690974,0.9396,0.4140758689275095,0.8793682770608564,"4.99**2 * Matern(length_scale=24.3, nu=2.5) + WhiteKernel(noise_level=0.225)"
A_base,1,0,outputs/rank_v1/A_base/fold0_seed1,0.0,raw,0.0058342542173701675,0.08863337819884928,0.2698457217123052,0.5224792642271705,0.9464,0.4266538874733744,0.8789754413690841,"5.71**2 * Matern(length_scale=20.7, nu=2.5) + WhiteKernel(noise_level=0.225)"
A_base,1,1,outputs/rank_v1/A_base/fold0_seed1,0.0,raw,0.030533748261349927,0.060991827715064374,0.3897794350272415,0.6009465681018626,0.9432,0.42203495389444123,0.8797998119066833,"2.8**2 * Matern(length_scale=8.82, nu=2.5) + WhiteKernel(noise_level=0.234)"
A_base,2,0,outputs/rank_v1/A_base/fold0_seed2,0.0,raw,0.004338218669528746,0.04520297720813392,0.09463470772365953,0.529542902557716,0.9444,0.42531165405167065,0.875575529922142,"3.25**2 * Matern(length_scale=17, nu=2.5) + WhiteKernel(noise_level=0.223)"
A_base,2,1,outputs/rank_v1/A_base/fold0_seed2,0.0,raw,0.025203500016139996,0.029372005196223242,0.26470818546503333,0.5169171345966853,0.942,0.42353779847288003,0.8793463043377084,"5.14**2 * Matern(length_scale=25.4, nu=2.5) + WhiteKernel(noise_level=0.236)"
D_w3,0,0,outputs/rank_v1/D_w3/fold0_seed0,3.0,raw,0.17172576629303063,0.12160141584193729,-0.09047918709333898,0.5776383488335339,0.9428,0.4304113166960096,0.8650873458266459,"1.28**2 * Matern(length_scale=6.75, nu=2.5) + WhiteKernel(noise_level=0.175)"
D_w3,0,1,outputs/rank_v1/D_w3/fold0_seed0,3.0,raw,0.08215752683830106,0.06552426394172552,0.040688573467542934,0.3737728673029146,0.9408,0.4244860594333241,0.8721618817563817,"2.27**2 * Matern(length_scale=12.9, nu=2.5) + WhiteKernel(noise_level=0.205)"
D_w3,1,0,outputs/rank_v1/D_w3/fold0_seed1,3.0,raw,0.14642090352083612,-0.009826335946104173,-0.18150395257651422,0.44198654353546163,0.95,0.4396636293009729,0.8664860344975511,"1.46**2 * Matern(length_scale=8.65, nu=2.5) + WhiteKernel(noise_level=0.21)"
D_w3,1,1,outputs/rank_v1/D_w3/fold0_seed1,3.0,raw,0.10291971061278841,-0.09999132403992657,-0.09393539132992454,0.22363953553758137,0.9392,0.42124178576125015,0.8719268333547059,"3.4**2 * Matern(length_scale=20.6, nu=2.5) + WhiteKernel(noise_level=0.216)"
D_w3,2,0,outputs/rank_v1/D_w3/fold0_seed2,3.0,raw,0.15299935677597423,0.07097521738358584,-0.10597786926820169,0.4989287918291516,0.9522,0.44965524404043106,0.8662939900211423,"1.42**2 * Matern(length_scale=7.91, nu=2.5) + WhiteKernel(noise_level=0.203)"
D_w3,2,1,outputs/rank_v1/D_w3/fold0_seed2,3.0,raw,0.1178266126170645,-0.024152238829288207,-0.01659866855234511,0.30971850230874004,0.9444,0.4297464242264887,0.8733506739267023,"2.23**2 * Matern(length_scale=12.4, nu=2.5) + WhiteKernel(noise_level=0.209)"
A_base,3,0,outputs/rank_v2/A_base/fold0_seed3,0.0,raw,-0.06411863440474537,0.1793622088249653,0.3176073803919178,0.6955672885266915,0.9406,0.41653332646503377,0.8767269381084675,"3.75**2 * Matern(length_scale=20.7, nu=2.5) + WhiteKernel(noise_level=0.214)"
