cell,seed,direction,run,w_vic,scaling,calib_rho,novelty_rho,predext_rho,embnn_rho,coverage95,mean_std,gp_spearman,kernel,hits_random,hits_greedy,hits_ucb,hits_maxvar,n_pool_positives
E_w10,2,0,outputs/rank_v1/E_w10/fold0_seed2,10.0,raw,0.13622986212119448,0.019361172939056724,-0.10616217972103509,0.23041084492843375,0.9518,0.4529972359766425,0.8685419289456754,"3.25**2 * Matern(length_scale=18.6, nu=2.5) + WhiteKernel(noise_level=0.249)",5,33,33,21,48
E_w10,2,1,outputs/rank_v1/E_w10/fold0_seed2,10.0,raw,0.182526701669068,0.014865876058771807,-0.025406996456889624,0.28972046752481867,0.9404,0.42132622957751475,0.8671367036764143,"2.8**2 * Matern(length_scale=15, nu=2.5) + WhiteKernel(noise_level=0.221)",5,38,37,23,54
A_base,3,0,outputs/rank_v2/A_base/fold0_seed3,0.0,raw,-0.036885628259425124,0.1787464873615849,0.354019788393288,0.7106579225383168,0.953,0.4526035907824816,0.8773766402365767,"2.26**2 * Matern(length_scale=12.1, nu=2.5) + WhiteKernel(noise_level=0.266)",5,32,33,21,48
A_base,3,1,outputs/rank_v2/A_base/fold0_seed3,0.0,raw,-0.027936805693472226,0.18399613504545573,0.4561177623036573,0.737901480332059,0.938,0.4121065726580702,0.8788239201188653,"2.62**2 * Matern(length_scale=9.72, nu=2.5) + WhiteKernel(noise_level=0.232)",5,38,37,23,54
A_base,4,0,outputs/rank_v2/A_base/fold0_seed4,0.0,raw,-0.010284188763367548,0.10195029910242007,0.24173984748339566,0.6676599140343964,0.9496,0.44355140109413904,0.8773618688583916,"2.26**2 * Matern(length_scale=9.53, nu=2.5) + WhiteKernel(noise_level=0.253)",5,36,36,22,48
A_base,4,1,outputs/rank_v2/A_base/fold0_seed4,0.0,raw,0.01571019979640799,0.08574238373895811,0.3251605283024211,0.7072478046419121,0.9372,0.4095287801521792,0.8763118513749562,"3.34**2 * Matern(length_scale=10.8, nu=2.5) + WhiteKernel(noise_level=0.228)",5,36,36,21,54
C_w1,3,0,outputs/rank_v2/C_w1/fold0_seed3,1.0,raw,0.060242789385711565,0.16531872833479722,0.007806491640447021,0.49453888022955517,0.9548,0.4505921037249717,0.8734641631138117,"1.68**2 * Matern(length_scale=11, nu=2.5) + WhiteKernel(noise_level=0.249)",5,33,35,16,48
C_w1,3,1,outputs/rank_v2/C_w1/fold0_seed3,1.0,raw,0.06127807003512279,0.15372279182463613,0.09457699280934956,0.42633698655747937,0.9374,0.41957250799234314,0.8742001290884054,"2.23**2 * Matern(length_scale=14.1, nu=2.5) + WhiteKernel(noise_level=0.23)",5,37,37,17,54
C_w1,4,0,outputs/rank_v2/C_w1/fold0_seed4,1.0,raw,0.04956432755057309,0.09989908746336003,-0.02492379118954982,0.38674815226992604,0.949,0.44818682752957784,0.87031816205643,"2.45**2 * Matern(length_scale=16.6, nu=2.5) + WhiteKernel(noise_level=0.249)",5,25,28,14,48
C_w1,4,1,outputs/rank_v2/C_w1/fold0_seed4,1.0,raw,0.06565739033829561,0.08597996994161057,0.07115255819180999,0.3622786678031467,0.9346,0.4134713559248552,0.8692506346832815,"2.34**2 * Matern(length_scale=14.6, nu=2.5) + WhiteKernel(noise_level=0.221)",5,36,35,15,54
D_w3,3,0,outputs/rank_v2/D_w3/fold0_seed3,3.0,raw,0.09846405350656214,-0.011834018837592988,-0.08558548470341938,0.3158261390970455,0.9504,0.45250561406784984,0.8712360702722144,"2.56**2 * Matern(length_scale=16.1, nu=2.5) + WhiteKernel(noise_level=0.248)",5,33,35,16,48
D_w3,3,1,outputs/rank_v2/D_w3/fold0_seed3,3.0,raw,0.1042638228905529,-0.03444153029824195,-0.04454198381688638,0.3257544132221765,0.9364,0.4107776375535168,0.8708041855298618,"2.34**2 * Matern(length_scale=13, nu=2.5) + WhiteKernel(noise_level=0.208)",5,38,35,20,54
D_w3,4,0,outputs/rank_v2/D_w3/fold0_seed4,3.0,raw,0.13935858173434326,-0.007098807480228066,-0.10420201046358296,0.4872359194574367,0.9492,0.45186445088726523,0.8654679984589551,"1.48**2 * Matern(length_scale=8.64, nu=2.5) + WhiteKernel(noise_level=0.232)",5,31,31,15,48
D_w3,4,1,outputs/rank_v2/D_w3/fold0_seed4,3.0,raw,0.12193718071748721,-0.0786387153066233,-0.023678470451138817,0.38038262126330485,0.9378,0.419641706563997,0.8683684283008859,"1.98**2 * Matern(length_scale=10.8, nu=2.5) + WhiteKernel(noise_level=0.213)",5,35,34,20,54
