cell,seed,run,w_vic,feat,probe,spearman,pearson,ap,mae
(shared),-1,,,ecfp4,knn,0.6733047883278092,0.6533724219843142,0.04880028282237501,0.5441505739782035
(shared),-1,,,ecfp4,ridge,0.7524607947173948,0.7274417225766663,0.0353788317803594,0.46103611949160395
(shared),-1,,,minimol512,knn,0.7729566450073984,0.7572879126149197,0.046708488817871,0.4339864367727323
(shared),-1,,,minimol512,ridge,0.7569135448133286,0.7346353678675124,0.03221670521679841,0.45198952076417814
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,emb32,knn,0.868676270010112,0.8657646616849224,0.18777995435238307,0.31696494880970627
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,emb32,ridge,0.8774155313311064,0.8739254230141459,0.2439475098797844,0.30649894283555457
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca1,knn,0.8230855985740477,0.8082989317406775,0.06622433900475978,0.3833897127856213
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca1,ridge,0.8720870428854601,0.863286749751241,0.1687321066041968,0.3244099862623012
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca16,knn,0.8685961586843172,0.8656995251244064,0.18821445793432645,0.3171448348892843
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca16,ridge,0.8773464650822964,0.8738534631470918,0.24371272359144214,0.30662770182814325
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca2,knn,0.8652749885427615,0.8619680042440293,0.19910526446660284,0.32232504633912057
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca2,ridge,0.8747181572047297,0.8689993255001974,0.2116073268835344,0.31902788604654675
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca32,knn,0.8686759217490873,0.86576673960272,0.187739593909526,0.31695012943197
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca32,ridge,0.8774155313311064,0.8739254230141458,0.2439475098797844,0.3064989428355547
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca4,knn,0.8668953434058608,0.8643276969711102,0.22724747010581003,0.3191898914822727
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca4,ridge,0.8772579475487676,0.8724003140675851,0.23624933203908705,0.309208891929002
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca8,knn,0.8679579212781943,0.8651909751327189,0.1884591472176933,0.3179658646551011
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pca8,ridge,0.8775308667969433,0.8734186076199433,0.24627628165802262,0.3067905766615349
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pred1,knn,0.8340905440895745,0.8242739563924963,0.10569150490185186,0.36615798405234357
A_base,0,outputs/rank_v1/A_base/fold0_seed0,0.0,pred1,ridge,0.8774295750823453,0.8702887570081127,0.24400466626471562,0.30929480069721405
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,emb32,knn,0.8708812562418897,0.8686030773295685,0.22423031490678028,0.3147055648392323
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,emb32,ridge,0.8785201309408324,0.8746248248982003,0.2590558233327358,0.306493625266406
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca1,knn,0.8359818602282522,0.8212427128083519,0.09825997929269856,0.3656936315741337
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca1,ridge,0.8777272863649658,0.8674862404603738,0.22071757690473742,0.3191351279146011
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca16,knn,0.8708383515642713,0.8685472842361874,0.22293965987166675,0.3148299997918515
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca16,ridge,0.8785085066118552,0.8745887055337855,0.25936349660934455,0.30652146069410147
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca2,knn,0.8667816392221155,0.8637425194642073,0.1938944648331046,0.32104647518783314
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca2,ridge,0.8783689863409614,0.8720127033310463,0.1552818846025958,0.3097847482672735
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca32,knn,0.8708817223249095,0.8685991280207399,0.2242284167090751,0.31470290003154344
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca32,ridge,0.8785201309408324,0.8746248248982,0.2590558233327358,0.30649362526640556
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca4,knn,0.8699000813636093,0.8676352295959446,0.22176718330624767,0.3164906750302787
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca4,ridge,0.8785482136488565,0.8741226422452223,0.26171794869283527,0.30760747598237137
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca8,knn,0.8704155531911004,0.8681133553807592,0.2256044166939868,0.31537280947547797
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pca8,ridge,0.878572137532285,0.8746857847693765,0.26801648271849077,0.3063366935347698
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pred1,knn,0.8329257680886375,0.8239875578489353,0.11564066987834118,0.365526169735629
A_base,1,outputs/rank_v1/A_base/fold0_seed1,0.0,pred1,ridge,0.8784964610915869,0.8706772338956166,0.2678798619713383,0.3108544782837724
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,emb32,knn,0.871439803744011,0.8680520511486538,0.22054956458439443,0.3148784158233755
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,emb32,ridge,0.8772659224190418,0.8740180363386999,0.2396986975516932,0.30788887597901865
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca1,knn,0.8259656389330228,0.8059140166933125,0.04301221263822162,0.380948462167389
A_base,2,outputs/rank_v1/A_base/fold0_seed2,0.0,pca1,ridge,0.8715396612575377,0.8614298604448529,0.0638938293375162,0.3254101899882429
