sweep_id,config,bootstrap,embedding,embedding_label,n_rows,input_dim,pprop_edge,n_positive,positive_rate,n_components,pca_explained_variance,pearson,spearman,r2,average_precision,auc,pearson_oob,spearman_oob,r2_oob,average_precision_oob,auc_oob
lyc0lh2d,cfg0,boot00,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7552046775817871,0.9783213468721402,0.9804354226372058,0.9243649082992769,1.0000000000000002,1.0,0.675618021363457,0.6915266103792231,0.44986367850018005,0.03569116458342046,0.6684811059152865
lyc0lh2d,cfg0,boot00,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7580028772354126,0.9783795778851204,0.9804426778344342,0.9274576768026628,1.0,1.0,0.6920156621235338,0.7055883081049513,0.47269355466483454,0.05880426003452924,0.6982249552343855
lyc0lh2d,cfg0,boot00,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.766046404838562,0.9777603105101228,0.9797142440852569,0.9295962987178843,1.0,1.0,0.7017928915490774,0.7140203203734601,0.48842369057162094,0.04620684631899302,0.6973191608579524
lyc0lh2d,cfg0,boot00,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7656476497650146,0.9772537451156611,0.97938408164159,0.9312144264873616,0.9999999999999999,1.0,0.7088532105628407,0.7198709719080437,0.49995293540849317,0.055590782170890564,0.6889577013829649
lyc0lh2d,cfg0,boot00,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.7635132074356079,0.9779666802006035,0.9800539805749371,0.9326451063408527,0.9999999999999999,1.0,0.7165486248918019,0.7294042875362967,0.5098972322290032,0.054687256262433585,0.6936187238627405
lyc0lh2d,cfg0,boot00,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.587108314037323,0.9839972530147043,0.9885698661263257,0.9636742071380214,1.0,1.0,0.858083569107365,0.8590898673528884,0.7362020530670468,0.2291691886597525,0.832010959927186
lyc0lh2d,cfg0,boot01,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7612775564193726,0.9778533744825348,0.9802972701428722,0.9257757001069558,1.0,1.0,0.6816166268807489,0.697161683647655,0.4596153214268396,0.04022085581380329,0.6710282765467598
lyc0lh2d,cfg0,boot01,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7561817169189453,0.9781714976916,0.9802640869694372,0.9278298340237422,0.9999999999999999,1.0,0.6928196485658928,0.7075667591182594,0.47457488080097976,0.059469625082683025,0.7046819440131523
lyc0lh2d,cfg0,boot01,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.763811469078064,0.9778903331675664,0.9800218624043172,0.9298086496746696,0.9999999999999999,1.0,0.702174268094167,0.7162139725916444,0.488901840537302,0.05212804830390996,0.6915288682930963
lyc0lh2d,cfg0,boot01,vn12,VN 12,66296,336,3.5,643,0.009698926028719681,32,0.7644385695457458,0.9779064912155007,0.9800868426790127,0.9321312646688755,0.9999999999999999,1.0,0.714186588834438,0.7276048915821881,0.506403945223959,0.058579617289013675,0.7024642069920416
lyc0lh2d,cfg0,boot01,vn15,VN 15,66296,336,3.5,643,0.009698926028719681,32,0.760372519493103,0.9782212632805656,0.9804202682415445,0.9334759231888505,0.9999999999999999,1.0,0.7211343434891117,0.7338637300765645,0.5161213670067402,0.06123886374403208,0.6964814941196444
lyc0lh2d,cfg0,boot01,pooled512,Pooled embedding,66296,512,3.5,643,0.009698926028719681,32,0.5880439877510071,0.9837205777863187,0.9886308770952786,0.9626702495730834,1.0,1.0,0.853549430866192,0.8549647796317188,0.7283971340662567,0.2097082395356394,0.8256295132339476
lyc0lh2d,cfg0,boot02,vn03,VN 3,66296,336,3.5,643,0.009698926028719681,32,0.7600640058517456,0.9784774689526674,0.9805163996568237,0.9248640203603751,0.9999999999999999,1.0,0.678179992816448,0.694641437949142,0.45301529651955885,0.0434602415447792,0.6814541977012417
lyc0lh2d,cfg0,boot02,vn06,VN 6,66296,336,3.5,643,0.009698926028719681,32,0.7581387758255005,0.9786278339219286,0.9807967989711117,0.9273484593480953,1.0,1.0,0.6915207536656719,0.7062913473578921,0.4713320215028183,0.046352414061023875,0.6734142244017803
lyc0lh2d,cfg0,boot02,vn09,VN 9,66296,336,3.5,643,0.009698926028719681,32,0.7650302648544312,0.9785840190434573,0.980907716320554,0.9289031746755191,0.9999999999999999,1.0,0.6992811332767023,0.7157438108073608,0.4826407110722525,0.04584538792248858,0.6796747184801832
