sweep_id,config,bootstrap,embedding,embedding_label,fold,input_dim,n_rows,tanimoto_spearman,pred_tanimoto_spearman,scalarness,tanimoto_partial,knn20_jaccard,n_readout,emb_effective_rank,emb_top1_share,emb_min_std,emb_dim
lyc0lh2d,cfg0,boot00,vn03,VN 3,0,336,66296,0.4126150264243697,0.07239345192435535,0.09950333458779836,0.4074336365326678,0.0980555018324329,5000,66.38463568557536,0.08561008228775611,0.07650527231470584,336
lyc0lh2d,cfg0,boot00,vn06,VN 6,0,336,66296,0.4245737111210709,0.07239345192435535,0.11867329004322086,0.41894306332535997,0.1081876303036654,5000,67.70253967088358,0.08018782636209455,0.22465691291003284,336
lyc0lh2d,cfg0,boot00,vn09,VN 9,0,336,66296,0.44367338119217825,0.07239345192435535,0.12911756444064423,0.437992421265249,0.11095046097070245,5000,65.2271041312627,0.08623895633598286,0.23269562167989782,336
lyc0lh2d,cfg0,boot00,vn12,VN 12,0,336,66296,0.4506635425567573,0.07239345192435535,0.14528023939146742,0.4448659898928184,0.11244707146852227,5000,64.91571543018352,0.09149341158146083,0.2498723305697186,336
lyc0lh2d,cfg0,boot00,vn15,VN 15,0,336,66296,0.4470719783769084,0.07239345192435535,0.1618722631163116,0.441171783554843,0.11313687066506116,5000,64.73186168662319,0.09869113794007106,0.2697574056688068,336
lyc0lh2d,cfg0,boot00,pooled512,Pooled embedding,0,512,66296,0.188133465914503,0.07239345192435535,0.34390213638741723,0.17384051948440074,0.14855681453316663,5000,122.06569246717869,0.1443501715251547,0.10365103494084826,512
lyc0lh2d,cfg0,boot00,z,Head export (z),0,1024,66296,0.1542488771831419,0.07239345192435535,0.8107715244543187,0.16323951216835536,0.10869834408321305,5000,30.73155048064686,0.36910751491701227,0.004218920814585097,1024
lyc0lh2d,cfg0,boot01,vn03,VN 3,0,336,66296,0.405155056922986,0.06988970704502728,0.09162803740206965,0.40043571184663196,0.09911022460935065,5000,64.53905041488241,0.08491324614325314,0.14378263530042049,336
lyc0lh2d,cfg0,boot01,vn06,VN 6,0,336,66296,0.4333122405474371,0.06988970704502728,0.11816650117240071,0.4280526427283058,0.11336829372167706,5000,67.83598695966433,0.08108577480384241,0.2355589681951439,336
lyc0lh2d,cfg0,boot01,vn09,VN 9,0,336,66296,0.45637927390279115,0.06988970704502728,0.1290297882927816,0.4511325640902487,0.11607895981527432,5000,65.39109577190592,0.08516086685955745,0.24984180103971051,336
