sweep_id,config,bootstrap,embedding,embedding_label,fold,n_per_half,pprop_edge,n_positive,positive_rate,knn_spearman,knn_pearson,knn_ap,knn_mae,ridge_spearman,ridge_pearson,ridge_ap,ridge_mae
lyc0lh2d,shared,shared,ecfp4,ecfp4,0,5000,3.5,51,0.0102,0.6522923088320292,0.6333711587674808,0.047201839508536195,0.5674181605457302,0.6868842766937395,0.6592972631808343,0.02984658242433802,0.5369952660908419
lyc0lh2d,shared,shared,ecfp4@pca32,ecfp4@pca32,0,5000,3.5,51,0.0102,0.602541232553303,0.5827316363409147,0.02164031773230053,0.562684563734877,0.5898368084065825,0.5643978662463507,0.02180387750277563,0.5694767416586336
lyc0lh2d,cfg0,boot00,vn03,VN 3,0,5000,3.5,51,0.0102,0.6561831380225296,0.6397966944323974,0.03374298485333342,0.5232501687080037,0.7288725097607738,0.7020018242984568,0.028531650811403,0.4768909080349014
lyc0lh2d,cfg0,boot00,vn03@pca32,vn03@pca32,0,5000,3.5,51,0.0102,0.6357857732045673,0.6217410543295813,0.034058627187398584,0.5329230375442112,0.6584588469393093,0.6292184415063105,0.02349641351003932,0.5300034094253604
lyc0lh2d,cfg0,boot00,vn06,VN 6,0,5000,3.5,51,0.0102,0.6880133206726222,0.6701657199094152,0.039777546690421314,0.5037086155572963,0.7482690842978001,0.7232814069917761,0.03501416743380552,0.4593511597868134
lyc0lh2d,cfg0,boot00,vn06@pca32,vn06@pca32,0,5000,3.5,51,0.0102,0.667521052882631,0.6520566669302428,0.03538800372515733,0.5144517951799377,0.6865799892680013,0.6581736844741773,0.029980830955400464,0.5086720658841001
lyc0lh2d,cfg0,boot00,vn09,VN 9,0,5000,3.5,51,0.0102,0.6958487597121175,0.6779927645393213,0.05201954082967026,0.49921922783752004,0.765835857766165,0.7415442864130193,0.04350688929081515,0.4448305636853942
lyc0lh2d,cfg0,boot00,vn09@pca32,vn09@pca32,0,5000,3.5,51,0.0102,0.6767901195581263,0.6607528315585838,0.037761593864238274,0.5093086411024874,0.6942966301159064,0.6655936258967035,0.03339059258346605,0.5030454722750863
lyc0lh2d,cfg0,boot00,vn12,VN 12,0,5000,3.5,51,0.0102,0.709490562096853,0.6916612191855456,0.049480878797620614,0.4904987527842839,0.7813802504663796,0.7590272739603285,0.05333604585947711,0.43170818981634507
lyc0lh2d,cfg0,boot00,vn12@pca32,vn12@pca32,0,5000,3.5,51,0.0102,0.6904637686264024,0.6747713752672444,0.0395402168999161,0.4999434283883265,0.7037350781289371,0.675922952933053,0.04087732442635983,0.49585481797332204
